file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,175,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,32
style.css,176,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,53
style.css,177,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,40
style.css,178,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,54
style.css,179,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,45
style.css,180,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,73
style.css,181,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,76
style.css,182,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,0
style.css,183,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,0
style.css,184,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,18
style.css,185,css,a69101d0,efastovsky,2025-01-31,11:04:29,-08:00,2025-01-31T11:04:29-08:00,0,72
style.css,186,css,a69101d0,efastovsky,2025-01-31,11:04:29,-08:00,2025-01-31T11:04:29-08:00,0,39
style.css,187,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,54
style.css,188,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,0
style.css,189,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,0
style.css,190,css,50da54ca,efastovsky,2025-01-24,18:38:53,-08:00,2025-01-24T18:38:53-08:00,0,0
style.css,191,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,15
style.css,192,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,4
style.css,193,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,16
style.css,194,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,16
style.css,195,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,12
style.css,196,css,50da54ca,efastovsky,2025-01-24,18:38:53,-08:00,2025-01-24T18:38:53-08:00,0,87
style.css,197,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,19
style.css,198,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,41
style.css,199,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,18
style.css,200,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,16
style.css,201,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,0
